You are here! Congrats, It`s working!
end = 3
begin = 1, i = 1, index = 15
entrou
begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
continua -> begin = 2, i = 2, index = 15
end = 4
begin = 2, i = 2, index = 42
entrou
begin = 3, i = 3, index = 42
end = 4
begin = 3, i = 3, index = 13
entrou
begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
continua -> begin = 4, i = 4, index = 13
end = 5
begin = 4, i = 4, index = 50
entrou
begin = 5, i = 5, index = 50
continua -> begin = 5, i = 5, index = 50
continua -> begin = 5, i = 5, index = 50
continua -> begin = 5, i = 5, index = 50
continua -> begin = 5, i = 5, index = 50
continua -> begin = 5, i = 5, index = 50
continua -> begin = 5, i = 5, index = 50
end = 6
begin = 5, i = 5, index = 39
entrou
begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
continua -> begin = 6, i = 6, index = 39
